Titulo,Imagen,Sinopsis
La La Land,https://images.unsplash.com/photo-1507510092099-3998b964c794?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un musical conmovedor sobre sueños y amor en Hollywood."
El Padrino,https://images.unsplash.com/photo-1519681393784-d120267933ba?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"La épica historia de la familia Corleone."
Interestelar,https://images.unsplash.com/photo-1485550290119-97995832c021?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un viaje alucinante a través del espacio y el tiempo."
Mad Max: Furia en la carretera,https://images.unsplash.com/photo-1542398119-436154685fba?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Acción y adrenalina en un mundo postapocalíptico."
Parasitos,https://images.unsplash.com/photo-1571092870198-e5c26c442436?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Una sátira mordaz sobre clases sociales en Corea del Sur."
El Club de la Lucha,https://images.unsplash.com/photo-1507746203164-399516d56412?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un thriller psicológico sobre la alienación y el consumismo."
Ciudadano Kane,https://images.unsplash.com/photo-1489738743167-995733151718?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"La búsqueda de un significado en la vida de un magnate."
Casablanca,https://images.unsplash.com/photo-1519681393784-d120267933ba?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un clásico del cine romántico ambientado en la Segunda Guerra Mundial."
Tiburón,https://images.unsplash.com/photo-1552233486-905192131291?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un thriller de suspense que te hará temer al agua."
E.T. el extraterrestre,https://images.unsplash.com/photo-1507746203164-399516d56412?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"La conmovedora historia de amistad entre un niño y un extraterrestre."
Volver al futuro,https://images.unsplash.com/photo-1531485218986-b5523a9101c9?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un viaje en el tiempo lleno de humor y aventuras."
Indiana Jones y el arca perdida,https://images.unsplash.com/photo-1541961471116-c958641471d8?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"El arqueólogo más famoso del cine en busca de tesoros."
La Guerra de las Galaxias,https://images.unsplash.com/photo-1485550290119-97995832c021?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Una saga épica que revolucionó el cine de ciencia ficción."
El Señor de los Anillos: La Comunidad del Anillo,https://images.unsplash.com/photo-1485550290119-97995832c021?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Fantasía épica en la Tierra Media."
Harry Potter y la piedra filosofal,https://images.unsplash.com/photo-1507746203164-399516d56412?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"El inicio de la saga del joven mago."
El Rey León,https://images.unsplash.com/photo-1519681393784-d120267933ba?ixlib=rb-4.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&q=80,"Un clásico de la animación sobre el ciclo de la vida."